23:30:49.231 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:30:49.232 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:30:49.232 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.82]
23:30:49.257 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:30:49.551 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
23:30:49.564 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarted,61] - Started AjaxApplication in 0.926 seconds (JVM running for 954.215)
23:31:11.259 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
23:31:11.265 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarting,55] - Starting AjaxApplication using Java 17.0.2 on Yachne with PID 3928 (D:\kaifamiao\workspace\idea\java\ajax\target\classes started by Administrator in D:\kaifamiao\workspace\idea\java)
23:31:11.267 [restartedMain] INFO  c.k.a.AjaxApplication - [logStartupProfileInfo,632] - No active profile set, falling back to 1 default profile: "default"
23:31:12.337 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:31:12.339 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:31:12.340 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.82]
23:31:12.428 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:31:13.100 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
23:31:13.139 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarted,61] - Started AjaxApplication in 2.316 seconds (JVM running for 3.453)
23:33:05.663 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
23:33:05.669 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarting,55] - Starting AjaxApplication using Java 17.0.2 on Yachne with PID 18788 (D:\kaifamiao\workspace\idea\java\ajax\target\classes started by Administrator in D:\kaifamiao\workspace\idea\java)
23:33:05.670 [restartedMain] INFO  c.k.a.AjaxApplication - [logStartupProfileInfo,632] - No active profile set, falling back to 1 default profile: "default"
23:33:07.003 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:33:07.004 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:33:07.005 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.82]
23:33:07.086 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:33:07.873 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
23:33:07.916 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarted,61] - Started AjaxApplication in 2.664 seconds (JVM running for 3.871)
23:44:58.460 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
23:44:58.464 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarting,55] - Starting AjaxApplication using Java 17.0.2 on Yachne with PID 14584 (D:\kaifamiao\workspace\idea\java\ajax\target\classes started by Administrator in D:\kaifamiao\workspace\idea\java)
23:44:58.466 [restartedMain] INFO  c.k.a.AjaxApplication - [logStartupProfileInfo,632] - No active profile set, falling back to 1 default profile: "default"
23:44:59.797 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:44:59.799 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:44:59.799 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.82]
23:44:59.893 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:45:00.558 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
23:45:00.594 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarted,61] - Started AjaxApplication in 2.571 seconds (JVM running for 3.813)
23:47:28.658 [Thread-5] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Pausing ProtocolHandler ["http-nio-8080"]
23:47:28.659 [Thread-5] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
23:47:28.665 [Thread-5] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Stopping ProtocolHandler ["http-nio-8080"]
23:47:28.666 [Thread-5] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Destroying ProtocolHandler ["http-nio-8080"]
23:47:28.768 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarting,55] - Starting AjaxApplication using Java 17.0.2 on Yachne with PID 14584 (D:\kaifamiao\workspace\idea\java\ajax\target\classes started by Administrator in D:\kaifamiao\workspace\idea\java)
23:47:28.768 [restartedMain] INFO  c.k.a.AjaxApplication - [logStartupProfileInfo,632] - No active profile set, falling back to 1 default profile: "default"
23:47:29.020 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:47:29.020 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:47:29.021 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.82]
23:47:29.037 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:47:29.238 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
23:47:29.248 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarted,61] - Started AjaxApplication in 0.524 seconds (JVM running for 152.467)
23:47:30.677 [Thread-7] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Pausing ProtocolHandler ["http-nio-8080"]
23:47:30.677 [Thread-7] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
23:47:30.679 [Thread-7] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Stopping ProtocolHandler ["http-nio-8080"]
23:47:30.680 [Thread-7] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Destroying ProtocolHandler ["http-nio-8080"]
23:47:30.771 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarting,55] - Starting AjaxApplication using Java 17.0.2 on Yachne with PID 14584 (D:\kaifamiao\workspace\idea\java\ajax\target\classes started by Administrator in D:\kaifamiao\workspace\idea\java)
23:47:30.771 [restartedMain] INFO  c.k.a.AjaxApplication - [logStartupProfileInfo,632] - No active profile set, falling back to 1 default profile: "default"
23:47:31.111 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:47:31.112 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:47:31.112 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.82]
23:47:31.131 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:47:31.386 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
23:47:31.401 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarted,61] - Started AjaxApplication in 0.669 seconds (JVM running for 154.619)
